text,label
"Vacation: Dear colleague, Are we still on for the meeting at 10 AM tomorrow? See you soon,",ham
Crypto: Attention! Nigerian Prince needs assistance transferring funds. Keep 10%. Click here now!,spam
"Vacation: Good morning, Can you review my pull request when you have a moment? See you soon,",ham
"Invoice: Hi team, Let's grab lunch at the new place downstairs. Regards,",ham
"Dating: Dear Customer, Invest in Bitcoin now and double your money in 24 hours. Unsubscribe here.",spam
"Q3 Report: Hey, Can you send over the updated slide deck? Regards,",ham
"URGENT: Congratulations! Exclusive offer: Get a free iPhone if you complete this survey. Apply now,",spam
"Dating: Congratulations! Your account has been flagged for suspicious activity. Verify now. Apply now,",spam
Investment: Congratulations! You have a new secure message. Click link to read. Unsubscribe here.,spam
"Lunch?: Good morning, Are we still on for the meeting at 10 AM tomorrow? Thanks,",ham
"URGENT: Dear Customer, You have won a lottery prize of $5,000,000! Click here to claim. Click here now!",spam
Investment: Attention! Invest in Bitcoin now and double your money in 24 hours. Act immediately!,spam
"Vacation: Dear colleague, Please find the attached document regarding the Q3 sales. See you soon,",ham
"Crypto: URGENT NOTICE: You have won a lottery prize of $5,000,000! Click here to claim. Don't wait!",spam
URGENT: URGENT NOTICE: Your credit score has changed. Update your info immediately. Unsubscribe here.,spam
"Crypto: Dear Customer, Nigerian Prince needs assistance transferring funds. Keep 10%. Click here now!",spam
"Q3 Report: Hi team, Can you review my pull request when you have a moment? Best,",ham
"Winner!: Dear Customer, Lose 10 lbs in 2 days with this miracle pill! Apply now,",spam
"Winner!: Dear Customer, Invest in Bitcoin now and double your money in 24 hours. Don't wait!",spam
Winner!: Attention! You have a new secure message. Click link to read. Unsubscribe here.,spam
"Project Update: Good morning, Please find the attached document regarding the Q3 sales. Cheers,",ham
"Family: Dear colleague, Please find the attached document regarding the Q3 sales. See you soon,",ham
"Lunch?: Good morning, Here are the notes from yesterday's brainstorming session. Cheers,",ham
Free Gift: URGENT NOTICE: Lose 10 lbs in 2 days with this miracle pill! Don't wait!,spam
"Resume: Good morning, Are we still on for the meeting at 10 AM tomorrow? See you soon,",ham
"URGENT: URGENT NOTICE: You have a new secure message. Click link to read. Apply now,",spam
"Verify Account: URGENT NOTICE: You have won a lottery prize of $5,000,000! Click here to claim. Apply now,",spam
"Crypto: Attention! You have a new secure message. Click link to read. Apply now,",spam
"Q3 Report: Hey, Please find the attached document regarding the Q3 sales. Regards,",ham
"Meeting: Hey, Please find the attached document regarding the Q3 sales. Thanks,",ham
"Winner!: Dear Customer, Hot singles in your area want to meet you tonight! Don't wait!",spam
"Free Gift: Hello Friend, Nigerian Prince needs assistance transferring funds. Keep 10%. Apply now,",spam
URGENT: Congratulations! You have a new secure message. Click link to read. Click here now!,spam
Winner!: Attention! Exclusive offer: Get a free iPhone if you complete this survey. Click here now!,spam
